Portuguese,English
que,what
não,no
de,in
você,you
eu,I
um,one
para,for
se,if
está,it is
uma,one
com,with
me,me
por,per
ele,he
isso,that
em,in
do,of
bem,good
mas,but
como,as
da,from the
os,you
no,at the
aqui,here
na,at
sim,Yes
ela,she
mais,more
tem,he has
meu,my
seu,your
vai,go
as,to the
muito,very
vamos,let's go
foi,he was
estou,I am
sua,your
tudo,all
só,only
minha,my
agora,now
pode,he can
te,you
então,then
vou,I go
sei,know
fazer,to do
quando,when
ser,to be
nós,us
tenho,I have
quer,he wants
nos,us
certo,right
eles,they
já,already
sabe,he knows
quem,who
estava,he was
nada,anything
era,it was
onde,where
lá,there
quero,I want
ao,to the
ou,or
sou,I am
disse,he said
bom,good
há,there is
posso,I can
são,they are
ter,to have
dizer,to say
mim,me
porque,why
pra,for
acho,I think
coisa,thing
mesmo,same
estão,they are
sobre,about
todos,all
até,until
lo,it
cara,face
nunca,Never
quê,what
assim,like this
tempo,time
algo,something
esse,that
isto,this
essa,that
casa,House
ver,to see
vocês,you
favor,favor
temos,we have
dos,of the
também,also
ainda,yet
deus,God
ir,go
noite,night
tão,so
obrigado,thanks
sem,without
melhor,better
dia,day
esta,it is
estamos,we are
talvez,perhaps
pai,father
alguém,somebody
senhor,sir
vida,life
anos,years
mãe,mother
este,This one
sr,MR
sempre,ever
vez,turn
verdade,true
dele,from him
seus,your
ficar,to stay
parece,looks
aí,there
preciso,necessary
falar,to speak
oh,Oh
coisas,things
nem,nor
homem,man
depois,after
claro,Of course
pelo,for the
antes,before
fazendo,doing
tinha,he had
lhe,him
boa,good
faz,he does
dois,two
pessoas,people
pouco,little
ei,Hey
deve,he must
acha,he thinks
qual,which
todo,all
la,there
lugar,place
fora,outside
apenas,just
estar,be
ninguém,nobody
fez,he did
disso,from that
trabalho,work
precisa,it needs
comigo,with me
das,of
dar,to give
alguma,some
saber,to know
novo,new
mundo,world
desculpe,sorry
hoje,today
nome,name
seja,it is
queria,I wanted
vá,go
sinto,I feel
dinheiro,money
podemos,we can
diga,say
grande,big
filho,son
suas,your
quanto,how much
nossa,our
deixe,leave
vão,they go
pela,for the
outro,other
qualquer,any
será,it will be
meus,my
poderia,it could
ok,OK
nosso,our
oi,hey
hora,hour
outra,other
dela,her
certeza,certainty